boxer_name,boxer_division,boxer_record,boxer_years
100. Shane Mosley,Divisions: Lightweight (136) to Light Middleweight (154),Record (W-L-D): 46-6-1,Years Active: 1993-Present
99. Nicolino Locche,Division: Light Welterweight (142),Record: 117-4-14,Years Active: 1958-1976
98. Miguel Canto,Division: Flyweight (112),Record: 61-9-4,Years Active: 1969-1982
97. Lew Jenkins,Division: Lightweight (135),Record: 74-42-5,Years Active: 1935-1950
96. Humberto Gonzalez,Division: Light Flyweight (108),Record: 43-3-0,Years Active: 1984-1995
95. Max Schmeling,Division: Heavyweight (200+),Record: 56-10-4,Years Active: 1924-1948
94. Michael Carbajal,Division: Light Flyweight (108),Record: 49-4-0,Years Active: 1989-1999
93. Bob Montgomery,Division: Lightweight (135),Record: 75-19-3,Years Active: 1938-1950
92. Floyd Patterson,"Divisions: Light Heavyweight (175), Heavyweight (200+)",Record: 55-8-1,Years Active: 1952-1972
91. Joe Calzaghe,"Division: Super Middleweight (168), Light Heavyweight (175)",Record: 46-0,Years Active: 1993-2008
90. Erik Morales,Divisions: Super Bantamweight (122) to Light Welterweight (140),Record: 51-6,Years Active: 1993-Present
89. Azumah Nelson,"Divisions: Featherweight (126), Super Featherweight (130)",Record: 39-6-2,Years Active: 1979-1998
88. Marco Antonio Barrera,Division: Super Bantamweight (122) to Lightweight (135),Record: 66-7-0,Years Active: 1989-Present
87. Felix Trinidad,Divisions: Welterweight (147) to Middleweight (160),Record: 42-3-0,Years Active: 1990-2005
"86. Jack ""Nonpareil"" Dempsey",Division: Middleweight (160),Record: 46-5-10,Years Active: 1883-1895
85. Joe Brown,Division: Lightweight (135),Record: 116-47-13,Years Active: 1941-1970
84. Charles Kid McCoy,Division: Welterweight (147) to Light Heavyweight (175),Record: 86-7-10,Years Active: 1891-1916
83. Mike McCallum,Divisions: Light Middleweight (154) to Light Heavyweight (175),Record: 49-5-1,Years Active: 1981-1997
82. Michael Spinks,"Divisions: Light Heavyweight (175), Heavyweight (200+)",Record: 31-1-0,Years Active: 1977-1988
81. Khaosai Galaxy,Division: Super Flyweight (115),Record: 49-1-0,Years Active: 1980-1991
80. George Dixon,"Division: Bantamweight (118), Featherweight (126)",Record: 64-29-51,Years Active: 1886-1906
79. Bob Fitzsimmons,"Divisions: Middleweight (160), Light Heavyweight (175), Heavyweight (200+)",Record: 68-8-4,Years Active: 1885-1914
78. Tony Zale,Division: Middleweight (160),Record: 67-18-2,Years Active: 1934-1948
77. Ricardo Lopez,"Divisions: Minimumweight (105), Light Flyweight (108), Flyweight (112)",Record: 51-0-1,Years Active: 1985-2001
76. Carlos Ortiz,"Divisions: Lightweight (135), Light Welterweight (140)",Record: 61-7-1,Years Active: 1955-1972
75. Manuel Ortiz,Division: Bantamweight (118),Record: 98-29-3,Years Active: 1938-1955
74. Sonny Liston,Division: Heavyweight (200+),Record: 50-4-0,Years Active: 1953-1970
73. Carlos Zarate,Divisions: Bantamweight (118) to Super Featherweight (130),Record: 66-4-0,"Years Active: 1970-79, 1986-88"
72. Wilfred Benitez,Divisions: Light Welterweight (140) to Light Middleweight (154),Record: 53-8-1,Years Active: 1973-1990
71. Wilfredo Gomez,"Division: Super Bantamweight (122), Featherweight (126)",Record: 44-3-1,Years Active: 1974-1989
70. Barbados Joe Walcott,Division: Welterweight (147),Record: 96-25-25,Years Active: 1890-1911
69. Bob Foster,Division: Light Heavyweight (175),Record: 56-8-1,Years Active: 1961-1978
68. James J. Corbett,Division: Heavyweight (200+),Record: 11-4-3,Years Active: 1886-1903
67. Fighting Harada,Division: Flyweight (112) to Featherweight (126),Record: 55-7-0,Years Active: 1960-1970
66. Pancho Villa,Division: Flyweight (112),Record: 92-9-4,Years Active: 1919-1925
65. Lennox Lewis,Division: Heavyweight (200+),Record: 41-2-1,Years Active: 1989-2003
64. Abe Attell,Division: Featherweight (126),Record: 125-18-21,Years Active: 1900-1917
63. Johnny Dundee,Divisions: Featherweight (126) to Lightweight (135),Record: 194-68-42,Years Active: 1910-1932
62. Panama Al Brown,Division: Bantamweight (118),Record: 135-20-12,Years Active: 1922-1942
61. Mike Tyson,Division: Heavyweight (200+),Record: 50-6-0,Years Active: 1985-2005
60. Beau Jack,Division: Lightweight (135),Record: 88-24-5,Years Active: 1938-1955
59. Aaron Pryor,Division: Light Welterweight (140),Record: 39-1-0,Years Active: 1976-1990
58. Tiger Flowers,Division: Middleweight (160),Record: 136-15-8,Years Active: 1918-1927
57. Tommy Loughran,Division: Light Heavyweight (175),Record: 124-32-13,Years Active: 1919-1937
56. Charley Burley,"Divisions: Welterweight (147), Middleweight (160)",Record: 83-12-2,Years Active: 1936-1950
55. Carmen Basilio,"Divisions: Welterweight (147), Middleweight (160)",Record: 56-16-7,Years Active: 1948-1961
54. Kid Gavilan,Division: Welterweight (147),Record: 108-30-5,Years Active: 1943-1958
53. Oscar De La Hoya,Divisions: Super Featherweight (130) to Middleweight (160),Record: 39-6,Years Active: 1992-2008
52. Dick Tiger,Divisions: Middleweight (160) to Light Heavyweight (175),Record: 60-19-3,Years Active: 1952-1970
51. Pascual Perez,Division: Flyweight (112),Record: 84-7-1,Years Active: 1952-1964
50. Salvador Sanchez,"Divisions: Bantamweight (118), Featherweight (126)",Record: 44-1-1,Years Active: 1975-1982
49. Ike Williams,Divisions: Lightweight (135),Record: 128-24-4,Years Active: 1940-1955
48. Billy Conn,Division: Light Heavyweight (175),Record: 64-12-1,Years Active: 1934-1948
47. Larry Holmes,Division: Heavyweight (200+),Record: 69-6-0,Years Active: 1973-2002
46. Bernard Hopkins,Divisions: Middleweight (160) to Light Heavyweight (175),Record: 51-5-2,Years Active: 1988-Present
45. Alexis Arguello,Divisions: Featherweight (126) to Welterweight (147),Record: 82-8-0,Years Active: 1968-1986
44. Thomas Hearns,Divisions: Welterweight (147) to Cruiserweight (200),Record: 61-5-1,Years Active: 1977-2000
43. Ted (Kid) Lewis,Divisions: Flyweight (112) to Light Heavyweight (175),Record: 193-28-13 (Sources vary),Years Active: 1909-1929
42. Kid Chocolate,Divisions: Featherweight (126) to Lightweight (135),Record: 135-10-6,Years Active: 1927-1938
41. Pernell Whitaker,Divisions: Lightweight (135) to Welterweight (147),Record: 40-4-1,Years Active: 1984-1997
40. Roy Jones Jr.,Divisions: Junior Middleweight (154) to Heavyweight (200+),Record: 54-7-0,Years Active: 1989-Present
39. Joe Frazier,Division: Heavyweight (200+),Record: 32-4-1,Years Active: 1965-1976
38. Evander Holyfield,"Division: Cruiserweight (200), Heavyweight (200+)",Record: 43-10-2,Years Active: 1984-Present
37. Carlos Monzon,Division: Middleweight (160),Record: 87-3-9,Years Active: 1963-1977
36. Jake LaMotta,Division: Middleweight (160),Record: 83-19-4,Years Active: 1941-1954
35. Terry McGovern,"Divisions: Bantamweight (118), Featherweight (126)",Record: 65-6-7,Years Active: 1897-1908
34. Ruben Olivares,"Divisions: Bantamweight (118), Featherweight (126)",Record: 88-13-3,Years Active: 1965-1988
33. Sandy Saddler,"Divisions: Featherweight (126), Junior Lightweight (130)",Record: 144-16-2,Years Active: 1944-1956
32. Jimmy McLarnin,"Divisions: Featherweight (126) to Welterweight (147)
Record: 54-11-3
Years Active: 1923-1936
Known by many nicknames, including ""The Baby Faced Assassin,"" Jimmy McLarnin was an Irish-Canadian boxer who had impressive punching power with both hands.
At first glance, his record isn't out-of-this-world extraordinary. However, he fought many of the sport's greatest fighters and also suffered a few losses due to hand injuries. The fights he did win, though, are very impressive.
McLarnin defeated Ruby Goldstein, Young Corbett III, Tony Canzoneri, Lou Ambers and Barney Ross—all top-flight boxers and some among the all-time greats.
McLarnin was wise with his money and his career and after retirement became a successful businessman, actor and speaker.",,
"31. Floyd Mayweather, Jr.",Divisions: Lightweight (135) to Light Middleweight (154),Record: 41-0-0,Years Active: 1996-Present
30. Eder Jofre,Divisions: Bantamweight (118) to Featherweight (126),Record: 72-2-4,Years Active: 1957-1976
29. Emile Griffith,Divisions: Welterweight (147) to Middleweight (160),Record: 85-24-2,Years Active: 1958-1977
28. Jose Napoles,Divisions: Lightweight (135) to Middleweight (160),Record: 81-7-0,Years Active: 1958-1975
27. Manny Pacquiao,Divisions: Light Flyweight (108) to Light Middleweight (154),Record: 52-3-2,Years Active: 1995-Present
26. Marcel Cerdan,"Divisions: Welterweight (147), Middleweight (160)",Record: 111-4-0,Years Active: 1934-1949
25. Marvin Hagler,Division: Middleweight (160),Record: 62-3-2,Years Active: 1973-1987
24. George Foreman,Division: Heavyweight (200+),Record: 76-5-0,Years Active: 1969-1997
23. Ezzard Charles,Divisions: Light Heavyweight (175) to Heavyweight (200+),Record: 93-25-1,Years Active: 1940-1959
22. Barney Ross,Divisions: Lightweight (135) to Welterweight (147),Record: 72-4-3,Years Active: 1929-1938
21. Tony Canzoneri,Divisions: Featherweight (126) to Welterweight (147),Record: 141-24-10,Years Active: 1925-1939
20. Stanley Ketchel,Divisions: Welterweight (147) to Heavyweight (200+),Record: 51-4-4,Years Active: 1903-1910
19. Jimmy Wilde,Division: Flyweight (112),Record: 138-5-2,Years Active: 1910-1920
18. Archie Moore,Divisions: Middleweight (160) to Heavyweight (200+),Record: 185-23-11,Years Active: 1935-1963
17. Mickey Walker,Divisions: Welterweight (147) to Heavyweight (200+),Record: 109-22-5 (Sources vary),Years Active: 1919-1935
16. Julio Cesar Chavez,"Divisions: Super Featherweight (130), Lightweight (135), Super Lightweight (140)",Record: 107-6-2,Years Active: 1980-2005
15. Sugar Ray Leonard,Divisions: Welterweight (147) to Light Heavyweight (175),Record: 36-3-1,Years Active: 1977-1989
14. Rocky Marciano,Division: Heavyweight (200+),Record: 49-0-0,Years Active: 1947-1955
13. Gene Tunney,"Divisions: Light Heavyweight (175), Heavyweight (200+)",Record: 81-1-2,Years Active: 1915-1928
12. Joe Gans,"Divisions: Featherweight (126), Lightweight (135)",Record: 140-10-16,Years Active: 1893-1909
11. Harry Greb,Divisions: Welterweight (147) to Heavyweight (175+),Record: 104-8-3 (260-20-17 including known newspaper decisions),Years Active: 1913-1926
10. Sam Langford,Division: Lightweight (135) to Heavyweight (175+),Record: 178-32-39 (206-48-55 including newspaper decisions),Years Active: 1902-1926
9. Jack Johnson,Division: Heavyweight (175+),Record: 55-12-7 (68-12-10 including newspaper decisions),Years Active: 1887-1932
8. Jack Dempsey,Division: Heavyweight (175+),Record: 61-6-9 (65-6-11 including newspaper decisions),Years Active: 1914-1927
7. Roberto Duran,Divisions: Lightweight (135) to Light Heavyweight (175),Record: 103-16-0,Years Active: 1968-2001
6. Benny Leonard,Division: Lightweight (135) to Middleweight (160),Record: 91-5-1 (185-19-10 including newspaper decisions),Years Active: 1911-1932
